Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	1.664130	0.014652	0.000065	0.294169
specbzip_l1d32	1.697911	0.018405	0.000065	0.229673
specbzip_l1d128	1.635497	0.011602	0.000065	0.379983
specbzip_l1da8	1.649074	0.013112	0.000065	0.331747
specbzip_l1da16	1.645462	0.012770	0.000065	0.341576
specbzip_l1i64	1.663956	0.014650	0.000063	0.293765
specbzip_l1i128	1.663972	0.014649	0.000062	0.293758
specbzip_l1ia8	1.664116	0.014650	0.000062	0.293803
specbzip_l1ia16	1.664055	0.014650	0.000062	0.293810
specbzip_l21024	1.694119	0.014649	0.000065	0.331917
specbzip_l24096	1.635925	0.014647	0.000065	0.262194
specbzip_l2a64	1.664130	0.014652	0.000065	0.294169
specbzip_l2a512	1.664231	0.014651	0.000065	0.294298
specbzip_cl32	1.846584	0.018162	0.000079	0.441756
specbzip_cl128	1.649181	0.014072	0.000050	0.181582
