Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer		1.161562	0.001782	0.000079	0.078399
spechmmer_l1d32		1.164030	0.002402	0.000154	0.056980
spechmmer_l1d128	1.157164	0.000534	0.000154	0.261344
spechmmer_l1da8		1.159164	0.001639	0.000154	0.083806
spechmmer_l1da16	1.159141	0.001650	0.000154	0.083257
spechmmer_l1i64		1.161591	0.001782	0.000086	0.078235
spechmmer_l1i128	1.161562	0.001782	0.000079	0.078399
spechmmer_l1ia8		1.161591	0.001782	0.000091	0.078138
spechmmer_l1ia16	1.161591	0.001782	0.000090	0.078157
spechmmer_l21024	1.161762	0.001782	0.000154	0.076981
spechmmer_l24096	1.161762	0.001782	0.000154	0.076981
spechmmer_l2a32		1.161762	0.001782	0.000154	0.076981
spechmmer_l2a128	1.161762	0.001782	0.000154	0.076981
spechmmer_cl32		1.173369	0.003155	0.000187	0.082424
spechmmer_cl128		1.157884	0.001190	0.000139	0.061745
