Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm	3.500938	0.060971	0.000096	0.999976
speclibm_l1d32	3.500938	0.060971	0.000096	0.999976
speclibm_l1d128	3.500938	0.060971	0.000096	0.999976
speclibm_l1da8	3.500938	0.060971	0.000096	0.999976
speclibm_l1da16	3.500938	0.060971	0.000096	0.999976
speclibm_l1i64	3.501019	0.060971	0.000093	0.999987
speclibm_l1i128	3.501019	0.060971	0.000093	0.999987
speclibm_l1ia8	3.501019	0.060971	0.000094	0.999985
speclibm_l1ia16	3.501019	0.060971	0.000093	0.999987
speclibm_l21024	3.503061	0.060971	0.000096	0.999976
speclibm_l24096	3.496275	0.060971	0.000096	0.999976
speclibm_l2a64	3.500938	0.060971	0.000096	0.999976
speclibm_l2a512	3.495624	0.060971	0.000096	0.999976
speclibm_cl32	5.606547	0.121939	0.000085	0.999990
speclibm_cl128	2.581552	0.030486	0.000103	0.999922
