Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf		1.176512	0.001944	0.004327	0.209096
specmcf_l1d32	1.177547	0.002122	0.004326	0.202850
specmcf_l1d128	1.176342	0.001852	0.004328	0.213509
specmcf_l1da8	1.176327	0.001861	0.004328	0.213133
specmcf_l1da16	1.176178	0.001849	0.004328	0.213632
specmcf_l1i64	1.148971	0.001944	0.000017	0.731295
specmcf_l1i128	1.148926	0.001944	0.000017	0.731323
specmcf_l1ia4	1.148971	0.001944	0.000017	0.731268
specmcf_l1ia16	1.148971	0.001944	0.000017	0.731295
specmcf_l21024	1.181113	0.001944	0.004327	0.224717
specmcf_l24096	1.176512	0.001944	0.004327	0.209096
specmcf_l2a32	1.176712	0.001944	0.004327	0.209808
specmcf_l2a128	1.176669	0.001944	0.004327	0.209889
specmcf_cl32	1.195299	0.003020	0.000482	0.722521
specmcf_cl128	1.175596	0.001227	0.008451	0.068891
