Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng		10.323594	0.122939	0.000019	0.999982
specsjeng_l1d32		10.323594	0.122939	0.000019	0.999982
specsjeng_l1d128	10.324142	0.122939	0.000019	0.999988
specsjeng_l1da4		10.324327	0.122939	0.000019	0.999986
specsjeng_l1da8		10.324134	0.122939	0.000019	0.999986
specsjeng_l1i64		10.321835	0.122939	0.000018	0.999989
specsjeng_l1i128	10.321827	0.122939	0.000018	0.999992
specsjeng_l1ia4		10.323866	0.122939	0.000018	0.999991
specsjeng_l1ia8		10.322170	0.122939	0.000018	0.999992
specsjeng_l21024	10.326429	0.122939	0.000019	0.999986
specsjeng_l24096	10.320761	0.122939	0.000019	0.999986
specsjeng_l2a2		10.323925	0.122939	0.000019	0.999986
specsjeng_l2a32		10.318707	0.122939	0.000019	0.999986
specsjeng_cl32		17.745394	0.245875	0.000022	0.999993
specsjeng_cl128		6.833438	0.061472	0.000013	0.999964
